0.02723,0.58541
0.03416,0.58677
0.0451,0.5885
0.05556,0.58953
0.06588,0.59173
0.07538,0.59275
0.08711,0.59377
0.09662,0.59692
0.10366,0.59803
0.11534,0.59927
0.12616,0.60155
0.13433,0.60231
0.14498,0.60417
0.1526,0.6053
0.16373,0.60774
0.1769,0.6109
0.18652,0.6118
0.19723,0.61375
0.20692,0.61517
0.21688,0.61789
0.22616,0.61943
0.23608,0.62137
0.2479,0.62304
0.25601,0.62501
0.26561,0.6263
0.28138,0.62995
0.29345,0.6325
0.3061,0.63598
0.3154,0.63867
0.325,0.63977
0.33161,0.64293
0.34203,0.64294
0.35657,0.64755
